INFO 2024-11-17 04:11:34,146 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-17 04:11:34,147 autoreload Waiting for apps ready_event.
DEBUG 2024-11-17 04:11:34,188 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-17 04:11:34,194 autoreload Watching dir /home/satriagitu/myenv/lib/python3.10/site-packages/django_extensions/templates with glob **/*.
DEBUG 2024-11-17 04:11:34,195 autoreload Watching dir /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-11-17 04:11:34,196 autoreload Watching dir /home/satriagitu/python/blog/locale with glob **/*.mo.
DEBUG 2024-11-17 04:11:34,197 autoreload Watching dir /home/satriagitu/myenv/lib/python3.10/site-packages/django_extensions/locale with glob **/*.mo.
DEBUG 2024-11-17 04:11:34,198 autoreload Watching dir /home/satriagitu/python/blog/authapp/locale with glob **/*.mo.
DEBUG 2024-11-17 04:11:34,203 autoreload Watching dir /home/satriagitu/python/blog/blogapp/locale with glob **/*.mo.
DEBUG 2024-11-17 04:11:34,204 autoreload Watching dir /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-11-17 04:11:34,206 autoreload Watching dir /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2024-11-17 04:11:34,267 utils (0.002) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-11-17 04:11:34,270 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-17 04:11:34,302 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/postgres/search.py first seen with mtime 1731727075.6154335
DEBUG 2024-11-17 04:11:34,302 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1731727075.8554335
DEBUG 2024-11-17 04:11:34,302 autoreload File /home/satriagitu/python/blog/authapp/apps.py first seen with mtime 1731743434.0675025
DEBUG 2024-11-17 04:11:34,302 autoreload File /usr/lib/python3.10/email/base64mime.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,303 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/migrations/operations/special.py first seen with mtime 1731727075.9054334
DEBUG 2024-11-17 04:11:34,303 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/checks/caches.py first seen with mtime 1731727075.8654335
DEBUG 2024-11-17 04:11:34,303 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/fields/files.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,303 autoreload File /usr/lib/python3.10/tempfile.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,304 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/backends/__init__.py first seen with mtime 1731727075.8854334
DEBUG 2024-11-17 04:11:34,304 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/functions/__init__.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,304 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/template/backends/base.py first seen with mtime 1731727075.9454334
DEBUG 2024-11-17 04:11:34,304 autoreload File /usr/lib/python3.10/calendar.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,305 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1731727075.2454333
DEBUG 2024-11-17 04:11:34,305 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1731727075.9654334
DEBUG 2024-11-17 04:11:34,305 autoreload File /usr/lib/python3.10/abc.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,306 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/postgres/fields/__init__.py first seen with mtime 1731727075.6154335
DEBUG 2024-11-17 04:11:34,306 autoreload File /usr/lib/python3.10/html/entities.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,306 autoreload File /usr/lib/python3.10/struct.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,306 autoreload File /usr/lib/python3.10/unittest/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,307 autoreload File /usr/lib/python3.10/asyncio/base_subprocess.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,307 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/utils/formatting.py first seen with mtime 1731731966.5154307
DEBUG 2024-11-17 04:11:34,307 autoreload File /usr/lib/python3.10/unittest/case.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,307 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/views/defaults.py first seen with mtime 1731727075.9654334
DEBUG 2024-11-17 04:11:34,308 autoreload File /usr/lib/python3.10/email/_parseaddr.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,308 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/admin/apps.py first seen with mtime 1731727075.0054333
DEBUG 2024-11-17 04:11:34,308 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/checks/registry.py first seen with mtime 1731727075.8654335
DEBUG 2024-11-17 04:11:34,308 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1731727075.8554335
DEBUG 2024-11-17 04:11:34,309 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/query.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,309 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/urls/exceptions.py first seen with mtime 1731727075.9554334
DEBUG 2024-11-17 04:11:34,310 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/files/storage/mixins.py first seen with mtime 1731727075.8754334
DEBUG 2024-11-17 04:11:34,310 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1731727075.6154335
DEBUG 2024-11-17 04:11:34,310 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/management/commands/runserver.py first seen with mtime 1731727075.8854334
DEBUG 2024-11-17 04:11:34,311 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/middleware/clickjacking.py first seen with mtime 1731727075.9354334
DEBUG 2024-11-17 04:11:34,311 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/utils/breadcrumbs.py first seen with mtime 1731731966.5154307
DEBUG 2024-11-17 04:11:34,311 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework_simplejwt/tokens.py first seen with mtime 1731731993.4554315
DEBUG 2024-11-17 04:11:34,312 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/http/cookie.py first seen with mtime 1731727075.9354334
DEBUG 2024-11-17 04:11:34,312 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/apps/__init__.py first seen with mtime 1731727074.8654335
DEBUG 2024-11-17 04:11:34,312 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/cache/__init__.py first seen with mtime 1731727075.8654335
DEBUG 2024-11-17 04:11:34,312 autoreload File /usr/lib/python3.10/asyncio/base_events.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,312 autoreload File /usr/lib/python3.10/asyncio/protocols.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,313 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/enums.py first seen with mtime 1731727075.9054334
DEBUG 2024-11-17 04:11:34,313 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/reverse.py first seen with mtime 1731731966.4354308
DEBUG 2024-11-17 04:11:34,313 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1731727074.7254333
DEBUG 2024-11-17 04:11:34,314 autoreload File /usr/lib/python3.10/email/generator.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,314 autoreload File /usr/lib/python3.10/textwrap.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,315 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/checks/security/__init__.py first seen with mtime 1731727075.8754334
DEBUG 2024-11-17 04:11:34,316 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,316 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1731727075.8654335
DEBUG 2024-11-17 04:11:34,316 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/admindocs/__init__.py first seen with mtime 1731727075.1754334
DEBUG 2024-11-17 04:11:34,317 autoreload File /usr/lib/python3.10/asyncio/trsock.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,317 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/fields/generated.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,317 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1731727075.7354333
DEBUG 2024-11-17 04:11:34,318 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/test/testcases.py first seen with mtime 1731727075.9554334
DEBUG 2024-11-17 04:11:34,318 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/files/uploadhandler.py first seen with mtime 1731727075.8754334
DEBUG 2024-11-17 04:11:34,318 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/psycopg2/_range.py first seen with mtime 1731731980.5354311
DEBUG 2024-11-17 04:11:34,318 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1731727075.9054334
DEBUG 2024-11-17 04:11:34,319 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1731727075.8854334
DEBUG 2024-11-17 04:11:34,319 autoreload File /home/satriagitu/python/blog/authapp/admin.py first seen with mtime 1731743434.0675025
DEBUG 2024-11-17 04:11:34,319 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/utils/dateparse.py first seen with mtime 1731727075.9554334
DEBUG 2024-11-17 04:11:34,319 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/utils/hashable.py first seen with mtime 1731727075.9554334
DEBUG 2024-11-17 04:11:34,320 autoreload File /usr/lib/python3.10/_markupbase.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,320 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/forms/models.py first seen with mtime 1731727075.9254334
DEBUG 2024-11-17 04:11:34,320 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,321 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1731727075.6154335
DEBUG 2024-11-17 04:11:34,321 autoreload File /usr/lib/python3.10/zoneinfo/_tzpath.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,322 autoreload File /usr/lib/python3.10/traceback.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,322 autoreload File /usr/lib/python3.10/importlib/metadata/_adapters.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,322 autoreload File /usr/lib/python3.10/unittest/util.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,323 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,323 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/paginator.py first seen with mtime 1731727075.8654335
DEBUG 2024-11-17 04:11:34,323 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/admin/decorators.py first seen with mtime 1731727075.0054333
DEBUG 2024-11-17 04:11:34,324 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1731731966.4854307
DEBUG 2024-11-17 04:11:34,324 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/options.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,324 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/sqlparse/lexer.py first seen with mtime 1731727074.7254333
DEBUG 2024-11-17 04:11:34,324 autoreload File /usr/lib/python3.10/xml/dom/NodeFilter.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,325 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/utils/timesince.py first seen with mtime 1731727075.9654334
DEBUG 2024-11-17 04:11:34,325 autoreload File /usr/lib/python3.10/datetime.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,325 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/backends/base/client.py first seen with mtime 1731727075.8854334
DEBUG 2024-11-17 04:11:34,326 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/functions/mixins.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,326 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/utils/model_meta.py first seen with mtime 1731731966.5154307
DEBUG 2024-11-17 04:11:34,326 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/utils/duration.py first seen with mtime 1731727075.9554334
DEBUG 2024-11-17 04:11:34,326 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/utils/functional.py first seen with mtime 1731727075.9554334
DEBUG 2024-11-17 04:11:34,327 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1731727075.8554335
DEBUG 2024-11-17 04:11:34,327 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django_extensions/__init__.py first seen with mtime 1731801567.5993366
DEBUG 2024-11-17 04:11:34,327 autoreload File /usr/lib/python3.10/base64.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,328 autoreload File /usr/lib/python3.10/inspect.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,328 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1731727075.3254335
DEBUG 2024-11-17 04:11:34,328 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/manager.py first seen with mtime 1731727075.9054334
DEBUG 2024-11-17 04:11:34,328 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework_simplejwt/utils.py first seen with mtime 1731731993.4554315
DEBUG 2024-11-17 04:11:34,329 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/messages/middleware.py first seen with mtime 1731727075.6154335
DEBUG 2024-11-17 04:11:34,330 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/postgres/forms/ranges.py first seen with mtime 1731727075.6154335
DEBUG 2024-11-17 04:11:34,331 autoreload File /usr/lib/python3.10/dataclasses.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,331 autoreload File /usr/lib/python3.10/xml/dom/minidom.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,332 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/models/query_utils.py first seen with mtime 1731727075.9154334
DEBUG 2024-11-17 04:11:34,332 autoreload File /home/satriagitu/python/blog/authapp/__init__.py first seen with mtime 1731743434.0675025
DEBUG 2024-11-17 04:11:34,332 autoreload File /usr/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,333 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/auth/base_user.py first seen with mtime 1731727075.2454333
DEBUG 2024-11-17 04:11:34,333 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/sites/requests.py first seen with mtime 1731727075.7954333
DEBUG 2024-11-17 04:11:34,333 autoreload File /usr/lib/python3.10/xml/dom/domreg.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,334 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/checks/security/base.py first seen with mtime 1731727075.8754334
DEBUG 2024-11-17 04:11:34,335 autoreload File /usr/lib/python3.10/importlib/metadata/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,336 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/auth/backends.py first seen with mtime 1731727075.2454333
DEBUG 2024-11-17 04:11:34,337 autoreload File /usr/lib/python3.10/asyncio/unix_events.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,337 autoreload File /usr/lib/python3.10/bz2.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,337 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/asgiref/local.py first seen with mtime 1731727074.7654333
DEBUG 2024-11-17 04:11:34,337 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/template/base.py first seen with mtime 1731727075.9454334
DEBUG 2024-11-17 04:11:34,338 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/backends/postgresql/operations.py first seen with mtime 1731727075.8954334
DEBUG 2024-11-17 04:11:34,338 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/serializers.py first seen with mtime 1731731966.4354308
DEBUG 2024-11-17 04:11:34,339 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/admin/widgets.py first seen with mtime 1731727075.0054333
DEBUG 2024-11-17 04:11:34,339 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/psycopg2/errors.py first seen with mtime 1731731980.5254312
DEBUG 2024-11-17 04:11:34,339 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/core/handlers/asgi.py first seen with mtime 1731727075.8754334
